service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CA2026-CA_N_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
CA2026-CA_N_SH-Weekday-005,1,1,1,1,1,0,0,20260713,20260724
CA2026-CA_N_SSH-Sunday-005,0,0,0,0,0,0,1,20260712,20260726
CA2026-CA_N_Su-Sunday-005,0,0,0,0,0,0,1,20260531,20260830
CA2026-CA_N_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
CA2026-CA_N_Wk-Weekday-005-0000100,0,0,0,0,1,0,0,20260526,20260831
CA2026-CA_N_Wk-Weekday-005-1111000,1,1,1,1,0,0,0,20260526,20260831
DF2026-DF_S_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
DF2026-DF_S_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
KI2026-KI_N_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
KI2026-KI_N_SH-Weekday-005,1,1,1,1,1,0,0,20260713,20260724
KI2026-KI_N_Su-Sunday-005,0,0,0,0,0,0,1,20260531,20260830
KI2026-KI_N_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
KI2026-KI_S_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
KI2026-KI_S_SH-Weekday-005,1,1,1,1,1,0,0,20260713,20260724
KI2026-KI_S_Su-Sunday-005,0,0,0,0,0,0,1,20260531,20260830
KI2026-KI_S_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
KI2026-KI_W_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
KI2026-KI_W_SH-Weekday-005,1,1,1,1,1,0,0,20260713,20260724
KI2026-KI_W_Su-Sunday-005,0,0,0,0,0,0,1,20260531,20260830
KI2026-KI_W_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
MA2026-MA_N_Sa-Saturday-004,0,0,0,0,0,1,0,20260530,20260530
MA2026-MA_N_Sa-Saturday-006,0,0,0,0,0,1,0,20260606,20260829
MA2026-MA_N_SH-Weekday-006,1,1,1,1,1,0,0,20260713,20260724
MA2026-MA_N_Su-Sunday-004,0,0,0,0,0,0,1,20260531,20260531
MA2026-MA_N_Su-Sunday-006,0,0,0,0,0,0,1,20260607,20260830
MA2026-MA_N_Wk-Weekday-004,1,1,1,1,1,0,0,20260526,20260603
MA2026-MA_N_Wk-Weekday-006,1,1,1,1,1,0,0,20260604,20260831
MT2026-MT_N_Sa-Saturday-005,0,0,0,0,0,1,0,20260530,20260829
MT2026-MT_N_SH-Weekday-005,1,1,1,1,1,0,0,20260713,20260724
MT2026-MT_N_Su-Sunday-005,0,0,0,0,0,0,1,20260531,20260830
MT2026-MT_N_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
MT2026-MT_S_Sa-Saturday-006,0,0,0,0,0,1,0,20260530,20260829
MT2026-MT_S_SH-Weekday-006,1,1,1,1,1,0,0,20260713,20260724
MT2026-MT_S_SH-Weekday-006-1111000,1,1,1,1,0,0,0,20260713,20260724
MT2026-MT_S_SH-Weekday-006-0000100,0,0,0,0,1,0,0,20260713,20260724
MT2026-MT_S_Su-Sunday-006,0,0,0,0,0,0,1,20260531,20260830
MT2026-MT_S_Wk-Weekday-005,1,1,1,1,1,0,0,20260526,20260831
MT2026-MT_S_Wk-Weekday-005-1111000,1,1,1,1,0,0,0,20260526,20260831
MT2026-MT_S_Wk-Weekday-005-0010000,0,0,1,0,0,0,0,20260526,20260831
