service_id,date,exception_type
CA2026-CA_N_Su-Sunday-005,20260712,2
CA2026-CA_N_Su-Sunday-005,20260719,2
CA2026-CA_N_Su-Sunday-005,20260726,2
CA2026-CA_N_Su-Sunday-005,20260608,1
CA2026-CA_N_Wk-Weekday-005,20260608,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260608,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260608,2
CA2026-CA_N_Wk-Weekday-005,20260713,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260713,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260713,2
CA2026-CA_N_Wk-Weekday-005,20260714,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260714,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260714,2
CA2026-CA_N_Wk-Weekday-005,20260715,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260715,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260715,2
CA2026-CA_N_Wk-Weekday-005,20260716,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260716,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260716,2
CA2026-CA_N_Wk-Weekday-005,20260717,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260717,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260717,2
CA2026-CA_N_Wk-Weekday-005,20260720,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260720,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260720,2
CA2026-CA_N_Wk-Weekday-005,20260721,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260721,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260721,2
CA2026-CA_N_Wk-Weekday-005,20260722,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260722,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260722,2
CA2026-CA_N_Wk-Weekday-005,20260723,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260723,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260723,2
CA2026-CA_N_Wk-Weekday-005,20260724,2
CA2026-CA_N_Wk-Weekday-005-0000100,20260724,2
CA2026-CA_N_Wk-Weekday-005-1111000,20260724,2
DF2026-DF_S_Wk-Weekday-005,20260608,2
KI2026-KI_N_Su-Sunday-005,20260608,1
KI2026-KI_N_Wk-Weekday-005,20260608,2
KI2026-KI_N_Wk-Weekday-005,20260713,2
KI2026-KI_N_Wk-Weekday-005,20260714,2
KI2026-KI_N_Wk-Weekday-005,20260715,2
KI2026-KI_N_Wk-Weekday-005,20260716,2
KI2026-KI_N_Wk-Weekday-005,20260717,2
KI2026-KI_N_Wk-Weekday-005,20260720,2
KI2026-KI_N_Wk-Weekday-005,20260721,2
KI2026-KI_N_Wk-Weekday-005,20260722,2
KI2026-KI_N_Wk-Weekday-005,20260723,2
KI2026-KI_N_Wk-Weekday-005,20260724,2
KI2026-KI_S_Su-Sunday-005,20260608,1
KI2026-KI_S_Wk-Weekday-005,20260608,2
KI2026-KI_S_Wk-Weekday-005,20260713,2
KI2026-KI_S_Wk-Weekday-005,20260714,2
KI2026-KI_S_Wk-Weekday-005,20260715,2
