stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
7000001,7000001,"Hobart Transit Centre, Liverpool St",, -42.884991, 147.323198,HOBC,,0,,0
7000002,7000002,"Hobart Interchange, Elizabeth St, Stop D3",, -42.882868, 147.330441,HOBC,,0,place_inthob,1
7000003,7000003,"Government House, Tasman Hwy",, -42.867599, 147.335538,HOBC,,0,,2
7000004,7000004,"Macquarie St after Campbell St",, -42.880606, 147.332802,HOBC,,0,,2
7000005,7000005,"Hobart Interchange, Collins St",, -42.882051, 147.329071,HOBC,,0,place_inthob,2
7000006,7000006,"Liverpool St opp UTAS",, -42.878953, 147.330060,HOBC,,0,,2
7000008,7000008,"St Mary's College, Harrington St",, -42.881147, 147.319955,HOBC,,0,,2
7000009,7000009,"Elizabeth College, Warwick St",, -42.878261, 147.318699,HOBC,,0,,2
7000010,7000010,"Macquarie St opp St Michael's Collegiate",, -42.888287, 147.322950,HOBC,,0,,2
7000011,7000011,"Davey St opp St Michael's Collegiate",, -42.888044, 147.325238,HOBC,,0,,1
7000012,7000012,"Davey St at Salamanca Pl, Stop A",, -42.885112, 147.328958,HOBC,,0,,1
7000014,7000014,"Davey St after Molle St",, -42.890383, 147.322202,HOBC,,0,,1
7000015,7000015,"Hobart Interchange, Macquarie St, Stop D1",, -42.883363, 147.329563,HOBC,,0,place_inthob,1
7000016,7000016,"Hobart Interchange, Macquarie St",, -42.883630, 147.328936,HOBC,,0,place_inthob,2
7000017,7000017,"Macquarie St after Barrack St",, -42.886629, 147.325051,HOBC,,0,,1
7000019,7000019,"Elizabeth St before McTavish Av",, -42.870700, 147.312496,HOBC,,0,,2
7000020,7000020,"Elizabeth St before Brisbane St",, -42.879253, 147.322698,HOBC,,0,,1
7000021,7000021,"Elizabeth St after Warwick St",, -42.878196, 147.320441,HOBC,,0,,1
7000022,7000022,"North Hobart Shops, Elizabeth St before Strahan St",, -42.872425, 147.314767,HOBC,,0,,1
7000023,7000023,"Elizabeth St at Burnett St",, -42.874339, 147.316832,HOBC,,0,,2
7000024,7000024,"Elizabeth St after Melville St",, -42.880283, 147.325078,HOBC,,0,,2
7000025,7000025,"Elizabeth St opp John St",, -42.876268, 147.318430,HOBC,,0,,1
7000026,7000026,"The Friends' School, Elizabeth St",, -42.868625, 147.312028,HOBC,,0,,1
7000027,7000027,"Elizabeth St before Warwick St",, -42.878139, 147.319997,HOBC,,0,,1
7000028,7000028,"North Hobart Shops, Elizabeth St opp Lefroy St",, -42.873337, 147.315463,HOBC,,0,,2
7000029,7000029,"Elizabeth St after Liverpool St",, -42.881094, 147.326464,HOBC,,0,,1
7000030,7000030,"Hobart Interchange, Elizabeth St, Stop A1",, -42.882616, 147.330142,HOBC,,0,place_inthob,1
7000031,7000031,"Elizabeth St at Tasma St",, -42.876064, 147.318144,HOBC,,0,,1
7000032,7000032,"Elizabeth St after Brisbane St",, -42.879120, 147.322162,HOBC,,0,,1
7000033,7000033,"Elizabeth St before Burnett St",, -42.875103, 147.317390,HOBC,,0,,1
7000034,7000034,"Elizabeth St before Lyndhurst St",, -42.870497, 147.311888,HOBC,,0,,2
7000035,7000035,"UTAS, Campbell St",, -42.878669, 147.329487,HOBC,,0,,1
7000036,7000036,"Hobart Interchange, Elizabeth St, Stop A2",, -42.882534, 147.329890,HOBC,,0,place_inthob,1
7000038,7000038,"Campbell St opp Patrick St",, -42.875623, 147.325145,HOBC,,0,,2
7000039,7000039,"Goulburn Street Primary School, Forest Rd",, -42.887817, 147.317809,HOBC,,0,,2
7000041,7000041,"Hobart Interchange, Elizabeth St, Stop B1",, -42.882403, 147.329423,HOBC,,0,place_inthob,2
7000042,7000042,"Mount Stuart Rd before Elphinstone Rd",, -42.872565, 147.310931,HOBC,,0,,2
7000043,7000043,"Lansdowne Cr opp Lansdowne Crescent Primary School",, -42.881347, 147.309785,HOBC,,0,,2
7000044,7000044,"Liverpool St before Molle St",, -42.886852, 147.321192,HOBC,,0,,2
7000045,7000045,"Forest Rd opp Goulburn Street Primary School",, -42.888461, 147.317211,HOBC,,0,,2
7000046,7000046,"William St at Goulburn St",, -42.887015, 147.312729,HOBC,,0,,2
7000047,7000047,"Mount Stuart Rd after Mellifont St",, -42.873864, 147.306684,HOBC,,0,,2
7000048,7000048,"Burnett St before Argyle St",, -42.873991, 147.318059,HOBC,,0,,2
7000049,7000049,"Elphinstone Rd at Mount Stuart Rd",, -42.872472, 147.311742,HOBC,,0,,2
7000050,7000050,"Collins St before Murray St",, -42.883630, 147.326853,HOBC,,0,,2
7000051,7000051,"Salier Cr after Gordon Av",, -42.870001, 147.298210,HOBC,,0,,2
7000053,7000053,"Liverpool St at Barrack St",, -42.885855, 147.322284,HOBC,,0,,2
7000054,7000054,"Hurst Rd before Mount Stuart Rd",, -42.872579, 147.302519,HOBC,,0,,2
7000055,7000055,"Arthur St before Crombie Lane",, -42.875980, 147.312222,HOBC,,0,,2
7000056,7000056,"Mount Stuart Rd at Mellifont Rd",, -42.874155, 147.306346,HOBC,,0,,2
7000057,7000057,"Newdegate St after Lochner St",, -42.875346, 147.310366,HOBC,,0,,2
7000058,7000058,"Lochner St at Newdegate St",, -42.875287, 147.310897,HOBC,,0,,2
7000060,7000060,"Hobart Interchange, Liverpool St, Stop L1",, -42.881158, 147.327454,HOBC,,0,place_inthob,2
7000061,7000061,"Argyle St opp Royal Hobart Hospital",, -42.879890, 147.327939,HOBC,,0,,2
7000062,7000062,"Forest Rd opp William St",, -42.889157, 147.314423,HOBC,,0,,2
7000063,7000063,"Federal St after Elizabeth St",, -42.871425, 147.315242,HOBC,,0,,2
7000064,7000064,"Federal St before Elizabeth St",, -42.871767, 147.314863,HOBC,,0,,2
7000065,7000065,"Lansdowne Crescent Primary School, Lansdowne Cr",, -42.881499, 147.309614,HOBC,,0,,2
