from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
7310002,7310001,,,424207-KI2026-KI_W_Wk-Weekday-005,378245-KI2026-KI_N_Wk-Weekday-005,1,
7310002,7310001,,,424211-KI2026-KI_W_Wk-Weekday-005,378246-KI2026-KI_N_Wk-Weekday-005,1,
7310002,7310001,,,424216-KI2026-KI_W_Wk-Weekday-005,378244-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378245-KI2026-KI_N_Wk-Weekday-005,378253-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378246-KI2026-KI_N_Wk-Weekday-005,378254-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378244-KI2026-KI_N_Wk-Weekday-005,378255-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378260-KI2026-KI_N_Wk-Weekday-005,378248-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378256-KI2026-KI_N_Wk-Weekday-005,378249-KI2026-KI_N_Wk-Weekday-005,1,
7250665,7250665,,,378257-KI2026-KI_N_Wk-Weekday-005,378247-KI2026-KI_N_Wk-Weekday-005,1,
7310001,7310002,,,378248-KI2026-KI_N_Wk-Weekday-005,424224-KI2026-KI_W_Wk-Weekday-005,1,
7310001,7310002,,,378249-KI2026-KI_N_Wk-Weekday-005,424228-KI2026-KI_W_Wk-Weekday-005,1,
7310001,7310002,,,378247-KI2026-KI_N_Wk-Weekday-005,424232-KI2026-KI_W_Wk-Weekday-005,1,
7211001,7211001,,,402419-CA2026-CA_N_Wk-Weekday-005,378253-KI2026-KI_N_Wk-Weekday-005,1,
7211001,7211001,,,378257-KI2026-KI_N_Wk-Weekday-005,402427-CA2026-CA_N_Wk-Weekday-005-1111000,1,
