route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
740-199,CA2026-CA_N_Sa-Saturday-005,402389-CA2026-CA_N_Sa-Saturday-005,Launceston City,0,,7400048,0,2
740-199,CA2026-CA_N_Sa-Saturday-005,402390-CA2026-CA_N_Sa-Saturday-005,St Helens,1,,7400047,0,2
745-199,CA2026-CA_N_Sa-Saturday-005,402391-CA2026-CA_N_Sa-Saturday-005,St Marys,0,,7450020,0,2
745-199,CA2026-CA_N_Sa-Saturday-005,402392-CA2026-CA_N_Sa-Saturday-005,Coles Bay,1,,7450019,0,2
743-199,CA2026-CA_N_Sa-Saturday-005,402393-CA2026-CA_N_Sa-Saturday-005,Coles Bay,1,,7430015,0,2
742-199,CA2026-CA_N_Sa-Saturday-005,402394-CA2026-CA_N_Sa-Saturday-005,St Marys,1,,7420007,0,2
742-199,CA2026-CA_N_Sa-Saturday-005,402395-CA2026-CA_N_Sa-Saturday-005,Bicheno,0,,7420008,0,2
743-199,CA2026-CA_N_Sa-Saturday-005,402396-CA2026-CA_N_Sa-Saturday-005,Bicheno,0,,7430014,0,2
740-199,CA2026-CA_N_SH-Weekday-005,402439-CA2026-CA_N_SH-Weekday-005,Launceston City,0,,7400048,0,2
744-199,CA2026-CA_N_SH-Weekday-005,402440-CA2026-CA_N_SH-Weekday-005,St Helens,0,,7440025,0,2
745-199,CA2026-CA_N_SH-Weekday-005,402441-CA2026-CA_N_SH-Weekday-005,Coles Bay,1,,7450019,0,2
743-199,CA2026-CA_N_SH-Weekday-005,402442-CA2026-CA_N_SH-Weekday-005,Coles Bay,1,,7430015,0,2
740-199,CA2026-CA_N_SH-Weekday-005,402443-CA2026-CA_N_SH-Weekday-005,St Helens,1,,7400047,0,2
742-199,CA2026-CA_N_SH-Weekday-005,402444-CA2026-CA_N_SH-Weekday-005,St Marys,1,,7420007,0,2
746-199,CA2026-CA_N_SH-Weekday-005,402445-CA2026-CA_N_SH-Weekday-005,Bicheno,1,,7460003,0,2
